filename Total_reads Mapped_read Total_reads_minusSexAndUnknownChr Mapped_reads_minusSexAndUnknownChr
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04873-L1_S1_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10802092 9044116 9369284 7611308
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04874-L1_S2_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10007967 8351235 8710017 7053285
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04875-L1_S3_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11123284 9179171 9656566 7712453
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04876-L1_S4_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11455144 9778869 10134061 8457786
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04877-L1_S5_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11178806 9440557 9881574 8143325
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04878-L1_S6_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11478314 9883589 10028987 8434262
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04879-L1_S7_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 8204576 7044919 7299334 6139677
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04880-L1_S8_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9422514 7983790 8220409 6781685
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04881-L1_S9_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 14254137 12255339 12434313 10435515
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04882-L1_S10_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12000240 9801155 10567957 8368872
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04883-L1_S11_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12907061 11155485 11378912 9627336
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04884-L1_S12_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 5834025 4023137 5134094 3323206
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04885-L1_S13_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10038105 8840208 8897127 7699230
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04886-L1_S14_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10469147 8806257 9284440 7621550
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04887-L1_S15_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 8308266 7178051 7290061 6159846
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04888-L1_S16_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10478821 8608098 9238121 7367398
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04889-L1_S17_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9211819 7637526 8095604 6521311
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04890-L1_S18_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9497358 7713736 8356555 6572933
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04891-L1_S19_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11305648 9668106 9979682 8342140
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04892-L1_S20_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12465730 10260099 10843208 8637577
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04893-L1_S21_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11091180 8698487 9610540 7217847
