filename Total_reads Mapped_read_sexchr Mapped_reads_unknownchr
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04873-L1_S1_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10802092 386647 1046161
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04874-L1_S2_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10007967 356868 941082
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04875-L1_S3_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11123284 392289 1074429
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04876-L1_S4_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11455144 315698 1005385
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04877-L1_S5_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11178806 305056 992176
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04878-L1_S6_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11478314 430167 1019160
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04879-L1_S7_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 8204576 230250 674992
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04880-L1_S8_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9422514 347107 854998
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04881-L1_S9_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 14254137 528846 1290978
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04882-L1_S10_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12000240 311238 1121045
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04883-L1_S11_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12907061 490714 1037435
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04884-L1_S12_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 5834025 149731 550200
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04885-L1_S13_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10038105 391783 749195
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04886-L1_S14_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10469147 287387 897320
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04887-L1_S15_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 8308266 314029 704176
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04888-L1_S16_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10478821 273837 966863
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04889-L1_S17_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9211819 246567 869648
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04890-L1_S18_L001_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9497358 248292 892511
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04891-L1_S19_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11305648 420820 905146
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04892-L1_S20_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12465730 437855 1184667
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04893-L1_S21_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11091180 272662 1207978
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04894-L1_S22_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 5775648 216821 438913
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04895-L1_S23_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11262015 275945 1113427
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04896-L1_S24_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 19853870 748879 1587517
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04897-L1_S25_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11690428 306314 1105588
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04898-L1_S26_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11037208 279885 1102358
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04899-L1_S27_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11376217 319249 885744
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04900-L1_S28_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12768680 501087 923107
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04901-L1_S29_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9405795 351229 776963
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04902-L1_S30_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10824988 393261 962989
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04903-L1_S31_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 6257189 234218 496947
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04904-L1_S32_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 8502453 239713 713935
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04905-L1_S33_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10470071 305721 801648
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04906-L1_S34_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9549069 360451 820221
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04907-L1_S35_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9154859 244270 884458
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04908-L1_S36_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 8884905 209569 939969
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04909-L1_S37_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 7778243 220378 622926
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04910-L1_S38_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11813284 438275 1010564
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04911-L1_S39_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11533176 311608 1039858
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04912-L1_S40_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10486319 398367 867370
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04913-L1_S41_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 6701724 181617 621084
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04914-L1_S42_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 13099208 362100 1165706
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04915-L1_S43_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11679131 415492 1103427
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04916-L1_S44_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9888355 375957 797844
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04917-L1_S45_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12203768 444166 1093779
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04918-L1_S46_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 8266574 305424 723557
