SampleID,NbrMethylatedCpG_global_BSBolt,Total_reads,Mapped_read,Total_reads_minusSexAndUnknownChr,Mapped_reads_minusSexAndUnknownChr,Mapped_read_sexchr,Mapped_reads_unknownchr,mappabilityTotal,mappabilityNoSexUn,mappabilitySexChr,mappabilityUnChr,percent_duplicates_rawReads,percent_GC_rawReads,M.Seqs_rawReads,percent_duplicates_trimmedReads,percent_gc_trimmedReads,avg_sequence_length_trimmedReads,percent_fails_trimmedReads,total_sequences_trimmedReads,FamilyOfFather,clutch.ID,fatherID,matchV48,HK.W,No.Worms,Wnettofin,Slfin,ID,Family,Generat,Tr,Sex,MReads,Mapping,trtG1G2,outcome,Tlfin,Cfresfin,BC,BCgen,SPL.W,L.W,GON.W,BK.W,integration.RLU.,peak.RLU.sec.,Tpeak.min.,G.L_ratio,trtG1G2_NUM,PAT,brotherPairID
S1,23440638,10802092,9044116,9369284,7611308,386647,1046161,83.7255968566089,81.2368159616039,3.57937147730273,9.68479994430708,71.7%,33%,10.9,70.9061927229483,32,93.2074359300032,18.1818181818182,10802092,Fam6,E_30,S17,V48_006,5,0,1096,43,S1,Fam06,O,TC,F,10.9,66.3,E_control,control,50,265.247,-2.33004,-3.07594,0.9,61.3,116.8,3.5,923411.8,174,70.11,0.96,2,Exposed father group,BP30
S2,24958797,10007967,8351235,8710017,7053285,356868,941082,83.4458686764255,80.9790038297285,3.56583909599222,9.40332836828898,74.4%,34%,10.1,73.8700907718617,33,95.1677484548061,18.1818181818182,10007967,Fam6,E_30,S17,V48_032,4.3,0,595,38,S2,Fam06,O,TC,F,10,66.2,E_control,control,43,-3.988,0.74326,0.69317,0.4,20,10.7,0.7,1152749,226,60.11,1.31,2,Exposed father group,BP30
S3,23454944,11123284,9179171,9656566,7712453,392289,1074429,82.5221310541024,79.8674497745886,3.52673724774087,9.65927868064863,73.6%,32%,11.2,73.1022360467966,31,94.5223279384038,18.1818181818182,11123284,Fam6,E_30,S17,V48_137,3.2,0,923,42,S3,Fam06,O,TC,F,11.2,65.9,E_control,control,48,138.6,-0.54225,-1.04789,1.2,49.5,18.8,4.1,2972330.5,508,80.11,0.43,2,Exposed father group,BP30
S4,26907281,11455144,9778869,10134061,8457786,315698,1005385,85.3666178268907,83.45900029613,2.75594964148857,8.77671201688953,71.8%,33%,11.5,71.4099537542872,32,95.2875380702329,18.1818181818182,11455144,Fam6,E_30,S17,V48_227,3.5,0,837,39,S4,Fam06,O,TC,M,11.5,67.7,E_control,control,45,191.659,-2.15642,-2.54261,1.4,30.9,5.6,5,1636361.1,240,60.11,0.96,2,Exposed father group,BP30
S5,25471164,11178806,9440557,9881574,8143325,305056,992176,84.4504949813066,82.4091890623903,2.72887820040888,8.87550960272501,71.6%,32%,11.3,70.9291445340934,32,94.5602868499552,18.1818181818182,11178806,Fam6,E_30,S17,V48_181,3.9,1,803,41,S5,Fam06,O,TT,M,11.3,66.8,E_exposed,infected,46,64.953,0.39147,0.0525,1,23.4,11.9,4.4,1658412.2,265,75.11,1.19,3,Exposed father group,BP30
S6,26054238,11478314,9883589,10028987,8434262,430167,1019160,86.1066268094774,84.0988426847098,3.74764969837905,8.87900435551772,72.3%,32%,11.6,71.7945371314725,32,95.034940845842,18.1818181818182,11478314,Fam6,E_30,S17,V48_228,2.6,1,645,36,S6,Fam06,O,TT,F,11.5,68.2,E_exposed,infected,42,138.718,-2.06245,-2.18199,1.1,25.5,14.1,3.3,2550909.9,409,70.11,0.39,3,Exposed father group,BP30
S7,18268596,8204576,7044919,7299334,6139677,230250,674992,85.8657290760668,84.1128382397627,2.80636074307801,8.22701867835705,83.8%,37%,15.8,69.65866660679,31,95.3648517607735,18.1818181818182,8204576,Fam6,E_30,S17,V48_278,3.1,2,595,37,S7,Fam06,O,TT,M,8.7,67.3,E_exposed,infected,42,42.365,-0.25674,-0.30683,1,30.1,0.6,1.9,1654039.1,251,85.11,0.84,3,Exposed father group,BP30
S8,22242174,9422514,7983790,8220409,6781685,347107,854998,84.7309964198514,82.4981457735254,3.6838045557693,9.07399023233078,73.5%,33%,9.5,72.7453385949776,32,93.8295656551956,18.1818181818182,9422514,Fam6,E_30,S17,V48_310,3.4,2,583,35,S8,Fam06,O,TT,F,9.4,66.7,E_exposed,infected,41,123.071,-2.06336,-2.09679,0.7,26.7,8.6,2.2,2677709.3,427,85.11,0.44,3,Exposed father group,BP30
S9,37435346,14254137,12255339,12434313,10435515,528846,1290978,85.9774183452846,83.9251432708828,3.71012289274335,9.05686538581746,76.2%,34%,14.4,75.5305801416632,33,93.8392179056508,18.1818181818182,14254137,Fam6,NE_30,S16,V48_043,4.5,0,735,39,S9,Fam06,O,CC,F,14.3,69.2,NE_control,control,45,89.659,-0.51275,-0.75728,1.2,33.9,9.9,1.8,2087275.7,397,75.11,0.68,5,Control father group,BP30
S10,24879102,12000240,9801155,10567957,8368872,311238,1121045,81.6746581735032,79.1910110913585,2.59359812803744,9.34185482957008,73.2%,32%,12.1,72.6825134512515,31,94.9399228682093,18.1818181818182,12000240,Fam6,NE_30,S16,V48_213,6.7,0,1043,40,S10,Fam06,O,CC,M,12,64.3,NE_control,control,46,351.306,-4.47598,-5.14827,1.5,41.1,14.1,14.3,4497525.7,757,60.11,0.95,5,Control father group,BP30
S11,28555515,12907061,11155485,11378912,9627336,490714,1037435,86.4293195794147,84.6068235697754,3.80190346973645,8.03773221494808,77.3%,32%,13,76.9572228219989,31,95.7827412452765,18.1818181818182,12907061,Fam6,NE_30,S16,V48_338,1.9,0,657,40,S11,Fam06,O,CC,M,12.9,69.9,NE_control,control,46,-34.694,1.74417,1.60797,1,22.6,9.4,1.9,896457,132,95.11,0.67,5,Control father group,BP30
S13,23734282,10038105,8840208,8897127,7699230,391783,749195,88.0665025918737,86.536136890032,3.90295777938167,7.46351029402462,73.3%,32%,10.1,73.0863691995843,31,96.3541632608944,18.1818181818182,10038105,Fam6,NE_30,S16,V48_013,4.2,4,454,37,S13,Fam06,O,CT,F,10.1,71.1,NE_exposed,infected,42,-98.635,2.01539,2.16112,0.3,8.5,5.9,NA,NA,NA,NA,0.77,6,Control father group,BP30
S14,23434755,10469147,8806257,9284440,7621550,287387,897320,84.1162799605355,82.089495973909,2.74508515354689,8.57108988917626,71.6%,32%,10.5,71.1310171697497,31,95.2591591272909,18.1818181818182,10469147,Fam6,NE_30,S16,V48_211,2.1,1,688,42,S14,Fam06,O,CT,M,10.5,66.9,NE_exposed,infected,48,-96.4,3.24463,3.06537,1.2,16.3,1.1,2.8,1364347.2,190,75.11,0.7,6,Control father group,BP30
S15,19222771,8308266,7178051,7290061,6159846,314029,704176,86.396499582464,84.4964946109504,3.77971769319856,8.47560730482149,70.1%,32%,8.4,69.6256014775758,31,95.0609732524211,18.1818181818182,8308266,Fam6,NE_30,S16,V48_295,5.3,2,976,44,S15,Fam06,O,CT,F,8.3,68,NE_exposed,infected,50,98.893,0.60368,0.02444,1.3,46.1,16.4,5.2,2482191.8,355,85.11,1.25,6,Control father group,BP30
S16,22619233,10478821,8608098,9238121,7367398,273837,966863,82.1475812975525,79.7499621405695,2.61324246305954,9.22683000310817,72.7%,32%,10.5,72.2906816481808,31,94.9902938508063,18.1818181818182,10478821,Fam6,NE_30,NA,62,4.1,0,931,43,S16,Fam06,P,C,M,10.5,64.8,Control,control,49,11.613,0.32883,0.42816,0.9,18.8,8.2,261,2834708,358.5,102.61,0.5291,1,Control father group,BP30
S17,22454935,9211819,7637526,8095604,6521311,246567,869648,82.9100745466232,80.5537301478679,2.67663748061051,9.44056760125226,75.0%,34%,9.3,74.4458832833926,33,94.6526810828567,18.1818181818182,9211819,Fam6,E_30,NA,63,2.6,6,732,39,S17,Fam06,P,T,M,9.2,65.2,Exposed,infected,44,11.531,-0.46441,-1.17546,1.1,17.5,7.7,174,1914101,243,105.11,0.4579,4,Exposed father group,BP30
S18,21256755,9497358,7713736,8356555,6572933,248292,892511,81.2198087089062,78.6560131537458,2.61432705811448,9.39746611636626,74.3%,34%,10.1,72.6586402671622,33,94.607725432694,18.1818181818182,9497358,Fam6,E_04,S36,V48_089,2.7,0,573,38,S18,Fam06,O,TC,M,9.8,62.9,E_control,control,43,-25.988,1.09778,1.07824,0.5,15.6,0.6,1.8,800082.5,158,40.11,0.5,2,Exposed father group,BP04
S19,27692025,11305648,9668106,9979682,8342140,420820,905146,85.5157174537895,83.5912406828194,3.72221035008343,8.00613993996629,73.7%,33%,11.4,73.1534893548503,32,95.4602665853386,18.1818181818182,11305648,Fam6,E_04,S36,V48_090,3,0,702,41,S19,Fam06,O,TC,F,11.4,69.8,E_control,control,46,-36.047,2.01902,1.82032,0.6,25.3,10.9,2.6,2012259.2,295,75.11,0.68,2,Exposed father group,BP04
S20,28279565,12465730,10260099,10843208,8637577,437855,1184667,82.3064433450749,79.6588703269365,3.5124697871685,9.50339049538214,75.8%,33%,12.6,75.4008179833028,33,95.5132936458595,18.1818181818182,12465730,Fam6,E_04,S36,V48_122,2.3,0,680,40,S20,Fam06,O,TC,F,12.5,65.3,E_control,control,46,-11.694,1.37354,1.2054,0.6,19.8,27.6,19.8,1011690.6,174,100.11,0.67,2,Exposed father group,BP04
S21,22564944,11091180,8698487,9610540,7217847,272662,1207978,78.4270654700402,75.1034489217047,2.45836782019587,10.8913388836896,75.8%,34%,11.2,75.0682539220511,33,93.0485178312858,27.2727272727273,11091180,Fam6,E_04,S36,V48_380,2.6,0,689,40,S21,Fam06,O,TC,M,11.1,61.5,E_control,control,45,-2.694,1.22851,1.04787,0.5,14.3,1.2,3.4,901561.7,157,90.11,0.45,2,Exposed father group,BP04
S23,23800684,11262015,8900275,9872643,7510903,275945,1113427,79.0291524207702,76.077935766542,2.45022760136619,9.88657003209461,77.5%,32%,11.3,77.2128111261007,32,95.1941482940664,18.1818181818182,11262015,Fam6,E_04,S36,V48_057,3.6,5,706,40,S23,Fam06,O,TT,M,11.3,61.2,E_exposed,infected,46,14.306,0.95457,0.75031,0.7,21.9,4.2,3.5,1025671.6,177,85.11,2.49,3,Exposed father group,BP04
S24,47930710,19853870,17049738,17517474,14713342,748879,1587517,85.8761440464756,83.9923724162513,3.77195478765601,7.9960078312188,78.3%,33%,20.1,77.7642703197967,32,95.3477697798968,18.1818181818182,19853870,Fam6,E_04,S36,V48_152,2.8,1,660,41,S24,Fam06,O,TT,F,20,70.3,E_exposed,infected,47,-78.047,2.69583,2.55546,0.5,18.5,12.4,3.6,703565.1,110,80.11,0.97,3,Exposed father group,BP04
S25,28395681,11690428,9567175,10278526,8155273,306314,1105588,81.8376795101086,79.342826004429,2.62021202303286,9.45720721260163,77.8%,35%,11.8,77.2277427860897,34,94.5887124064234,27.2727272727273,11690428,Fam6,E_04,S36,V48_256,2.6,2,832,41,S25,Fam06,O,TT,M,11.7,65.8,E_exposed,infected,47,93.953,-0.07584,-0.45509,0.9,16.6,7.7,13.9,885283.9,144,80.11,0.75,3,Exposed father group,BP04
S26,24075767,11037208,8896585,9654965,7514342,279885,1102358,80.6053940453057,77.8287855005171,2.53583152550899,9.98765267448072,73.1%,33%,11.2,72.6111654820253,32,95.4427808192072,18.1818181818182,11037208,Fam6,E_04,S36,V48_363,4.4,9,592,38,S26,Fam06,O,TT,M,11.1,63.2,E_exposed,infected,42,-6.988,0.79161,0.74568,0.4,12.9,4,3.8,1661786.1,287,90.11,0.92,3,Exposed father group,BP04
S27,27575770,11376217,9770931,10171224,8565938,319249,885744,85.8891053150621,84.2173763944241,2.80628437379491,7.78592743088498,76.4%,32%,11.4,76.0863705825337,32,95.8615123111664,18.1818181818182,11376217,Fam6,NE_04,S35,V48_021,4.6,0,824,41,S27,Fam06,O,CC,M,11.4,68.4,NE_control,control,46,85.953,0.05307,-0.31507,0.9,27,4.7,12.8,1661739,329,55.11,3.61,5,Control father group,BP04
